2017-11-11 15:03:26 	 [ERROR] 	 <common.go:29>  	 Param invalid%!(EXTRA *http.Request=&{POST /user/registeruser HTTP/1.1 1 1 map[Accept-Encoding:[gzip, deflate, br] Content-Length:[132] Cache-Control:[no-cache] Origin:[chrome-extension://fhbjgbiflinjbdggehcddcbncdddomop] Postman-Token:[6b96b445-cf06-49db-b2d6-3e522c2ca853] Accept:[*/*] Connection:[keep-alive] User-Agent:[Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36] Content-Type:[application/json] Accept-Language:[zh-CN,zh;q=0.8,en;q=0.6]] 0xc4201c4a00 <nil> 132 [] false localhost:8081 map[] map[] <nil> map[] [::1]:55141 /user/registeruser <nil> <nil> <nil> 0xc4201c4a40})
2017-11-11 15:03:26 	 [ WARN] 	 <model_user.go:82>  	 CheckUserNameValid：该用户名已存在%!(EXTRA string=Jack012)
2017-11-11 15:03:26 	 [ERROR] 	 <common.go:29>  	 该用户名已被注册%!(EXTRA *http.Request=&{POST /user/registeruser HTTP/1.1 1 1 map[Accept-Encoding:[gzip, deflate, br] Content-Length:[132] Cache-Control:[no-cache] Origin:[chrome-extension://fhbjgbiflinjbdggehcddcbncdddomop] Postman-Token:[6b96b445-cf06-49db-b2d6-3e522c2ca853] Accept:[*/*] Connection:[keep-alive] User-Agent:[Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36] Content-Type:[application/json] Accept-Language:[zh-CN,zh;q=0.8,en;q=0.6]] 0xc4201c4a00 <nil> 132 [] false localhost:8081 map[] map[] <nil> map[] [::1]:55141 /user/registeruser <nil> <nil> <nil> 0xc4201c4a40})
2017-11-11 15:21:40 	 [ INFO] 	 <middleware.go:20>  	 Form:map[],,Path:127.0.0.1/user/registeruser
2017-11-11 15:21:40 	 [ WARN] 	 <model_user.go:82>  	 CheckUserNameValid：该用户名已存在%!(EXTRA string=Jack012)
2017-11-11 15:22:03 	 [ INFO] 	 <middleware.go:20>  	 Form:map[],,Path:127.0.0.1/user/registeruser
2017-11-11 15:22:03 	 [ WARN] 	 <model_user.go:82>  	 CheckUserNameValid：该用户名已存在%!(EXTRA string=Jack012)
2017-11-11 15:22:04 	 [ INFO] 	 <middleware.go:20>  	 Form:map[],,Path:127.0.0.1/user/registeruser
2017-11-11 15:22:04 	 [ WARN] 	 <model_user.go:82>  	 CheckUserNameValid：该用户名已存在%!(EXTRA string=Jack012)
2017-11-11 15:22:04 	 [ INFO] 	 <middleware.go:20>  	 Form:map[],,Path:127.0.0.1/user/registeruser
2017-11-11 15:22:04 	 [ WARN] 	 <model_user.go:82>  	 CheckUserNameValid：该用户名已存在%!(EXTRA string=Jack012)
2017-11-11 15:24:29 	 [ INFO] 	 <middleware.go:20>  	 Form:map[],,Path:127.0.0.1/user/registeruser
2017-11-11 15:24:29 	 [ WARN] 	 <model_user.go:82>  	 username already exist%!(EXTRA string=Jack012)
2017-11-11 15:24:29 	 [ INFO] 	 <middleware.go:20>  	 Form:map[],,Path:127.0.0.1/user/registeruser
2017-11-11 15:24:29 	 [ WARN] 	 <model_user.go:82>  	 username already exist%!(EXTRA string=Jack012)
2017-11-11 15:24:29 	 [ INFO] 	 <middleware.go:20>  	 Form:map[],,Path:127.0.0.1/user/registeruser
2017-11-11 15:24:29 	 [ WARN] 	 <model_user.go:82>  	 username already exist%!(EXTRA string=Jack012)
2017-11-11 15:24:30 	 [ INFO] 	 <middleware.go:20>  	 Form:map[],,Path:127.0.0.1/user/registeruser
2017-11-11 15:24:30 	 [ WARN] 	 <model_user.go:82>  	 username already exist%!(EXTRA string=Jack012)
2017-11-11 15:24:30 	 [ INFO] 	 <middleware.go:20>  	 Form:map[],,Path:127.0.0.1/user/registeruser
2017-11-11 15:24:30 	 [ WARN] 	 <model_user.go:82>  	 username already exist%!(EXTRA string=Jack012)
2017-11-11 15:24:50 	 [ INFO] 	 <middleware.go:20>  	 Form:map[],,Path:127.0.0.1/user/registeruser
2017-11-11 15:24:50 	 [ WARN] 	 <model_user.go:82>  	 username already exist%!(EXTRA string=Jack012)
2017-11-11 15:24:50 	 [ INFO] 	 <middleware.go:20>  	 Form:map[],,Path:127.0.0.1/user/registeruser
